Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Industries,Lead Investors
Series A - Sevco Security,https://www.crunchbase.com/funding_round/sevco-security-series-a--1539c4f7,"Austin, Texas, United States, North America",Sevco Security,https://www.crunchbase.com/organization/sevco-security,Series A,14999999,USD,14999999,2021-05-20,"Cyber Security, Information Technology, Network Security, Software",SYN Ventures
Series A - RevEng,https://www.crunchbase.com/funding_round/reveng-series-a--b905e4c1,"London, England, United Kingdom, Europe",RevEng,https://www.crunchbase.com/organization/reveng,Series A,15000000,USD,15000000,2026-05-27,"Artificial Intelligence (AI), Cyber Security, Software Engineering, Web Design, Web Development",NATO Innovation Fund
Series A - WorkOS,https://www.crunchbase.com/funding_round/workos-series-a--2bde4954,"San Francisco, California, United States, North America",WorkOS,https://www.crunchbase.com/organization/workos,Series A,15000000,USD,15000000,2020-05-27,"Cyber Security, Developer APIs, Developer Tools, Identity Management, Information Technology, Operating Systems",Lachy Groom
Series A - Truffle Security,https://www.crunchbase.com/funding_round/truffle-security-series-a--5a3f3c1b,"San Francisco, California, United States, North America",Truffle Security,https://www.crunchbase.com/organization/truffle-security,Series A,15000000,USD,15000000,2021-12-08,"Cyber Security, Information Technology, Network Security, Software",Andreessen Horowitz
Series A - Edera,https://www.crunchbase.com/funding_round/edera-bf39-series-a--73a347fa,"Seattle, Washington, United States, North America",Edera,https://www.crunchbase.com/organization/edera-bf39,Series A,15000000,USD,15000000,2025-02-25,"Artificial Intelligence (AI), Cloud Infrastructure, Cyber Security, Developer APIs, Developer Platform, Enterprise Software, IT Infrastructure",M12 - Microsoft's Venture Fund
Series A - Jericho Security,https://www.crunchbase.com/funding_round/jericho-security-series-a--feafd677,"New York, New York, United States, North America",Jericho Security,https://www.crunchbase.com/organization/jericho-security,Series A,15000000,USD,15000000,2025-04-24,"Cyber Security, Generative AI, Security",Era
Series A - Abstract Security,https://www.crunchbase.com/funding_round/abstract-security-series-a--d639dc09,"San Francisco, California, United States, North America",Abstract Security,https://www.crunchbase.com/organization/abstract-security,Series A,15000000,USD,15000000,2024-10-28,"Artificial Intelligence (AI), Big Data, Cyber Security, Information Technology",Munich Re Ventures
Series A - Cloudsmith,https://www.crunchbase.com/funding_round/cloudsmith-io-series-a--e2b28119,"Belfast, Belfast, United Kingdom, Europe",Cloudsmith,https://www.crunchbase.com/organization/cloudsmith-io,Series A,15000000,USD,15000000,2021-09-21,"Artificial Intelligence (AI), Cloud Computing, Cloud Storage, Content Delivery Network, Cyber Security, Developer Tools, Enterprise Software, SaaS, Security, Software",Tiger Global Management
Series A - TrustLab,https://www.crunchbase.com/funding_round/trust-lab-series-a--72e53690,"Palo Alto, California, United States, North America",TrustLab,https://www.crunchbase.com/organization/trust-lab,Series A,15000000,USD,15000000,2023-06-15,"Artificial Intelligence (AI), Cyber Security, Social Media, Software","Foundation Capital, U.S. Venture Partners"
Series A - Manifest,https://www.crunchbase.com/funding_round/manifest-f544-series-a--f6e26abd,"New York, New York, United States, North America",Manifest,https://www.crunchbase.com/organization/manifest-f544,Series A,15000000,USD,15000000,2025-04-24,"Cyber Security, Software, Supply Chain Management",Ensemble VC
